question,ground_truth,context,q_type,source_page
作为一名质检工程师，我需要确认一份维修报告引用的标准版本是否正确。根据该片段，新能源汽车维修维护技术要求的国家标准编号和发布日期是什么？,国家标准编号是GB/T 44510—2024，发布日期是2024-09-29。,"新能源汽车维修维护技术要求
Technical requirement for maintenance and repair of new energy vehicle
 
ICS  43.180
CCS  R 16
 
 
中华人民共和国国家标准 
GB/T 44510—2024
2024-09-29发布 2025-01-01 实施 
 
国家市场监督管理总局 
国家标准化管理委员会 发 布",fact,0
维保主管在制定年度培训计划时，需要确认新标准《新能源汽车维修维护技术要求》的行业分类代码和实施日期，以便安排相关培训和合规切换。根据该片段，该标准所属的ICS和CCS分类代码是什么？以及它将于何时开始实施？,该标准的ICS分类代码是43.180，CCS分类代码是R 16，实施日期是2025-01-01。,"新能源汽车维修维护技术要求
Technical requirement for maintenance and repair of new energy vehicle
 
ICS  43.180
CCS  R 16
 
 
中华人民共和国国家标准 
GB/T 44510—2024
2024-09-29发布 2025-01-01 实施 
 
国家市场监督管理总局 
国家标准化管理委员会 发 布",multi-hop,0
维修技师在准备进行新能源汽车高压部件检修时，想查阅标准中关于必须使用的绝缘工具（如螺丝刀、扳手）的具体型号或品牌规定。该片段是否规定了必须使用某个特定品牌或型号的绝缘工具？,在该片段中未提及相关规定。,"新能源汽车维修维护技术要求
Technical requirement for maintenance and repair of new energy vehicle
 
ICS  43.180
CCS  R 16
 
 
中华人民共和国国家标准 
GB/T 44510—2024
2024-09-29发布 2025-01-01 实施 
 
国家市场监督管理总局 
国家标准化管理委员会 发 布",negative,0
作为一名维修技师，我需要查阅《新能源汽车维修维护技术要求》标准中关于‘安全要求’的具体内容。根据该标准的目录，我应该查看第几章？,第5章。,"目　　次
前言   ·····································································································   Ⅲ
1     范围   ··································································································   1
2     规范性引用文件   ······················································································   1
3     术语和定义   ···························································································   1
4     一般要求   ······························································································   2
5     安全要求   ······························································································   2
6     维护作业项目及要求   ·················································································   3",fact,2
一位质检工程师需要评估一份新能源汽车维护作业方案是否符合标准。该方案计划进行维护作业，并涉及安全要求。根据该标准目录，为了全面评估，他需要查阅哪几个章节的内容？,他需要查阅第5章“安全要求”和第6章“维护作业项目及要求”。,"目　　次
前言   ·····································································································   Ⅲ
1     范围   ··································································································   1
2     规范性引用文件   ······················································································   1
3     术语和定义   ···························································································   1
4     一般要求   ······························································································   2
5     安全要求   ······························································································   2
6     维护作业项目及要求   ·················································································   3",multi-hop,2
该标准片段的目录中，是否明确规定了在进行新能源汽车高压系统维修时，必须使用扭矩值为多少牛·米的专用扳手？,在该片段中未提及相关规定。,"目　　次
前言   ·····································································································   Ⅲ
1     范围   ··································································································   1
2     规范性引用文件   ······················································································   1
3     术语和定义   ···························································································   1
4     一般要求   ······························································································   2
5     安全要求   ······························································································   2
6     维护作业项目及要求   ·················································································   3",negative,2
根据《新能源汽车维修维护技术要求》GB/T 44510—2024的目录，关于新能源汽车的维修及竣工技术要求，我应该查阅标准的第几章？,第7章。,"6     维护作业项目及要求   ·················································································   3
7     维修及竣工技术要求   ·················································································   8
  GB/T 44510—2024
 
 
Ⅰ",fact,2
一位维保主管需要为新员工制定一份新能源汽车维护作业的培训计划。根据该标准目录，为了全面覆盖维护作业的具体项目和维修完成后的技术要求，他需要重点参考哪两个章节的内容？,他需要重点参考第6章“维护作业项目及要求”和第7章“维修及竣工技术要求”。,"6     维护作业项目及要求   ·················································································   3
7     维修及竣工技术要求   ·················································································   8
  GB/T 44510—2024
 
 
Ⅰ",multi-hop,2
该标准目录片段是否规定了在进行新能源汽车高压系统维护时，必须使用特定品牌或型号的绝缘工具（例如，要求使用“XX牌”的绝缘扳手）？,在该片段中未提及相关规定。,"6     维护作业项目及要求   ·················································································   3
7     维修及竣工技术要求   ·················································································   8
  GB/T 44510—2024
 
 
Ⅰ",negative,2
根据《新能源汽车维修维护技术要求》标准的前言信息，该标准由哪个技术委员会归口管理？,全国汽车维修标准化技术委员会（SAC/TC 247）。,"前　　言
本文件按照GB/T 1.1—2020《标准化工作导则　第1部分：标准化文件的结构和起草规则》的规
定起草。
请注意本文件的某些内容可能涉及专利。本文件的发布机构不承担识别专利的责任。
本文件由中华人民共和国交通运输部提出。
本文件由全国汽车维修标准化技术委员会（SAC/TC 247）归口。
本文件起草单位：交通运输部公路科学研究所、宁德时代新能源科技股份有限公司、行云新能科技
（深圳）有限公司、中公高远（北京）汽车检测技术有限公司、中国汽车工程研究院股份有限公司、
上海阑途信息技术有限公司、合肥国轩高科动力能源有限公司、上海蔚来汽车有限公司、长安大学、
特斯拉（上海）有限公司。
本文件主要起草人：刘富佳、陈潮洲、杨小娟、王平、魏显威、邬果昉、李伟、吴立新、夏国强、
许书军、焦健、金嘉炜、刘明、陈昊、金懋、陈章鹏、张红波、周祥、岳留振、薛钧成、周刚、
陈方华、袁俊坤、武卫忠、王海良、王薛超、周勇、刘波、刘可照、徐智玮。
 
  GB/T 44510—2024
 
 
Ⅲ",fact,4
一位质检工程师需要确认一份《新能源汽车维修维护技术要求》标准草案的起草背景和知识产权声明。根据该标准片段，他应该查阅哪两个部分来获取这些信息？,他应该查阅“前言”部分，其中包含了文件起草依据（GB/T 1.1—2020）和可能涉及专利的声明。,"前　　言
本文件按照GB/T 1.1—2020《标准化工作导则　第1部分：标准化文件的结构和起草规则》的规
定起草。
请注意本文件的某些内容可能涉及专利。本文件的发布机构不承担识别专利的责任。
本文件由中华人民共和国交通运输部提出。
本文件由全国汽车维修标准化技术委员会（SAC/TC 247）归口。
本文件起草单位：交通运输部公路科学研究所、宁德时代新能源科技股份有限公司、行云新能科技
（深圳）有限公司、中公高远（北京）汽车检测技术有限公司、中国汽车工程研究院股份有限公司、
上海阑途信息技术有限公司、合肥国轩高科动力能源有限公司、上海蔚来汽车有限公司、长安大学、
特斯拉（上海）有限公司。
本文件主要起草人：刘富佳、陈潮洲、杨小娟、王平、魏显威、邬果昉、李伟、吴立新、夏国强、
许书军、焦健、金嘉炜、刘明、陈昊、金懋、陈章鹏、张红波、周祥、岳留振、薛钧成、周刚、
陈方华、袁俊坤、武卫忠、王海良、王薛超、周勇、刘波、刘可照、徐智玮。
 
  GB/T 44510—2024
 
 
Ⅲ",multi-hop,4
该标准片段是否规定了新能源汽车维修维护作业中，必须使用由“宁德时代新能源科技股份有限公司”生产的专用工具或设备？,在该片段中未提及相关规定。,"前　　言
本文件按照GB/T 1.1—2020《标准化工作导则　第1部分：标准化文件的结构和起草规则》的规
定起草。
请注意本文件的某些内容可能涉及专利。本文件的发布机构不承担识别专利的责任。
本文件由中华人民共和国交通运输部提出。
本文件由全国汽车维修标准化技术委员会（SAC/TC 247）归口。
本文件起草单位：交通运输部公路科学研究所、宁德时代新能源科技股份有限公司、行云新能科技
（深圳）有限公司、中公高远（北京）汽车检测技术有限公司、中国汽车工程研究院股份有限公司、
上海阑途信息技术有限公司、合肥国轩高科动力能源有限公司、上海蔚来汽车有限公司、长安大学、
特斯拉（上海）有限公司。
本文件主要起草人：刘富佳、陈潮洲、杨小娟、王平、魏显威、邬果昉、李伟、吴立新、夏国强、
许书军、焦健、金嘉炜、刘明、陈昊、金懋、陈章鹏、张红波、周祥、岳留振、薛钧成、周刚、
陈方华、袁俊坤、武卫忠、王海良、王薛超、周勇、刘波、刘可照、徐智玮。
 
  GB/T 44510—2024
 
 
Ⅲ",negative,4
根据标准，新能源汽车的‘常规装置’主要包括哪些系统或部件？,主要包括但不限于制动系、转向系、行驶系、传动系等传统机械系统（部件）及低压电气系统等。,"新能源汽车维修维护技术要求
1　范围
 
本文件规定了新能源汽车维修维护的一般要求、安全要求、维护作业项目及要求和维修及竣工技术
要求。
本文件适用于纯电动汽车、插电式混合动力电动汽车以及使用气态氢的燃料电池电动汽车的维修维
护，其他类型新能源汽车参照执行。
2　规范性引用文件
 
下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文
件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用
于本文件。
GB/T 2900.41　电工术语　原电池和蓄电池
GB/T 3798　汽车大修竣工出厂技术条件
GB/T 5624　汽车维修术语
GB/T 18344　汽车维护、检测、诊断技术规范
GB 18384　电动汽车安全要求
GB/T 19596　电动汽车术语
GB/T 24548　燃料电池电动汽车　术语
GB/T 24549　燃料电池电动汽车　安全要求
3　术语和定义
 
GB/T 2900.41、GB/T 5624、GB/T 19596、GB/T 24548界定的以及下列术语和定义适用
于本文件。
3.1　
常规装置　routine equipment
新能源汽车与燃油（气）汽车所配置的结构功能相同的装置。
注：主要包括但不限于制动系、转向系、行驶系、传动系等传统机械系统（部件）及低压电气系统等。
3.2　
高压系统　high voltage power system
电动汽车内部B级电压以上与动力电池直流母线相连或由动力电池电源驱动的高压驱动零部件
系统。
注：主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控
制器系统、DC/DC变换器和车载充电机等。
[来源：GB/T 19596—2017, 3.1.2.1.11，有修改]
3.3",fact,6
一名维修技师需要查阅标准，以确定某款插电式混合动力电动汽车的维修维护工作是否适用本文件。根据片段，他需要综合哪两条信息才能做出判断？,首先，需要确认车辆类型是否为纯电动汽车、插电式混合动力电动汽车或使用气态氢的燃料电池电动汽车。其次，需要确认本文件是否适用于这些类型车辆的维修维护。,"新能源汽车维修维护技术要求
1　范围
 
本文件规定了新能源汽车维修维护的一般要求、安全要求、维护作业项目及要求和维修及竣工技术
要求。
本文件适用于纯电动汽车、插电式混合动力电动汽车以及使用气态氢的燃料电池电动汽车的维修维
护，其他类型新能源汽车参照执行。
2　规范性引用文件
 
下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文
件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用
于本文件。
GB/T 2900.41　电工术语　原电池和蓄电池
GB/T 3798　汽车大修竣工出厂技术条件
GB/T 5624　汽车维修术语
GB/T 18344　汽车维护、检测、诊断技术规范
GB 18384　电动汽车安全要求
GB/T 19596　电动汽车术语
GB/T 24548　燃料电池电动汽车　术语
GB/T 24549　燃料电池电动汽车　安全要求
3　术语和定义
 
GB/T 2900.41、GB/T 5624、GB/T 19596、GB/T 24548界定的以及下列术语和定义适用
于本文件。
3.1　
常规装置　routine equipment
新能源汽车与燃油（气）汽车所配置的结构功能相同的装置。
注：主要包括但不限于制动系、转向系、行驶系、传动系等传统机械系统（部件）及低压电气系统等。
3.2　
高压系统　high voltage power system
电动汽车内部B级电压以上与动力电池直流母线相连或由动力电池电源驱动的高压驱动零部件
系统。
注：主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控
制器系统、DC/DC变换器和车载充电机等。
[来源：GB/T 19596—2017, 3.1.2.1.11，有修改]
3.3",multi-hop,6
该片段是否规定了在进行新能源汽车高压系统维修时，维修人员必须佩戴的具体防护手套的电压等级（例如1000V或更高）？,在该片段中未提及相关规定。,"新能源汽车维修维护技术要求
1　范围
 
本文件规定了新能源汽车维修维护的一般要求、安全要求、维护作业项目及要求和维修及竣工技术
要求。
本文件适用于纯电动汽车、插电式混合动力电动汽车以及使用气态氢的燃料电池电动汽车的维修维
护，其他类型新能源汽车参照执行。
2　规范性引用文件
 
下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文
件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用
于本文件。
GB/T 2900.41　电工术语　原电池和蓄电池
GB/T 3798　汽车大修竣工出厂技术条件
GB/T 5624　汽车维修术语
GB/T 18344　汽车维护、检测、诊断技术规范
GB 18384　电动汽车安全要求
GB/T 19596　电动汽车术语
GB/T 24548　燃料电池电动汽车　术语
GB/T 24549　燃料电池电动汽车　安全要求
3　术语和定义
 
GB/T 2900.41、GB/T 5624、GB/T 19596、GB/T 24548界定的以及下列术语和定义适用
于本文件。
3.1　
常规装置　routine equipment
新能源汽车与燃油（气）汽车所配置的结构功能相同的装置。
注：主要包括但不限于制动系、转向系、行驶系、传动系等传统机械系统（部件）及低压电气系统等。
3.2　
高压系统　high voltage power system
电动汽车内部B级电压以上与动力电池直流母线相连或由动力电池电源驱动的高压驱动零部件
系统。
注：主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控
制器系统、DC/DC变换器和车载充电机等。
[来源：GB/T 19596—2017, 3.1.2.1.11，有修改]
3.3",negative,6
