variant,rule_key,score_item,score_weight,passed,status,actual_value,threshold,operator,judge_tip
full,metric_min:context_recall,检索覆盖能力,10.0,True,PASS,0.45999999999999996,0.45,>=,确保检索覆盖达标，减少漏召回。
full,metric_min:context_precision,检索精准能力,10.0,True,PASS,0.51,0.5,>=,控制噪声召回，减少证据污染。
full,metric_min:faithfulness,回答可信与安全,20.0,True,PASS,0.97,0.9,>=,重点关注幻觉风险与事实一致性。
full,metric_min:answer_relevance,业务问答相关性,10.0,True,PASS,0.88,0.85,>=,确保回答切题，不答非所问。
full,calibration:max_ece,置信校准质量,15.0,False,FAIL,0.5,0.25,<=,置信度应与真实正确率一致。
full,calibration:min_accepted_accuracy_proxy,可放行回答准确性,20.0,False,FAIL,0.3333333333333333,0.85,>=,放行答案应保持高准确率。
full,calibration:max_error_leakage_rate_after_accept,风险外放控制,10.0,False,FAIL,0.6666666666666666,0.2,<=,降低错误答案对外输出概率。
chunk200_baseline,metric_min:context_recall,检索覆盖能力,10.0,True,PASS,0.58,0.45,>=,确保检索覆盖达标，减少漏召回。
chunk200_baseline,metric_min:context_precision,检索精准能力,10.0,True,PASS,0.61,0.5,>=,控制噪声召回，减少证据污染。
chunk200_baseline,metric_min:faithfulness,回答可信与安全,20.0,False,FAIL,0.85,0.9,>=,重点关注幻觉风险与事实一致性。
chunk200_baseline,metric_min:answer_relevance,业务问答相关性,10.0,True,PASS,0.97,0.85,>=,确保回答切题，不答非所问。
chunk200_baseline,calibration:max_ece,置信校准质量,15.0,False,FAIL,0.519,0.25,<=,置信度应与真实正确率一致。
chunk200_baseline,calibration:min_accepted_accuracy_proxy,可放行回答准确性,20.0,False,FAIL,0.3333333333333333,0.85,>=,放行答案应保持高准确率。
chunk200_baseline,calibration:max_error_leakage_rate_after_accept,风险外放控制,10.0,False,FAIL,0.6666666666666666,0.2,<=,降低错误答案对外输出概率。
chunk200_baseline,significant_improve:faithfulness,关键指标显著提升,5.0,False,FAIL,0.5,0.05,p<0.05 and mean_diff>0,核心指标提升需具统计显著性。
